OG,category
NOG232325,Signal transduction
NOG231969,Function unknown
NOG246027,General functional prediction only
NOG203836,Transcription
NOG236439,Intracellular trafficing and secretion
NOG246024,Function unknown
NOG203833,Function unknown
NOG246022,General functional prediction only
NOG246021,Function unknown
NOG203830,Function unknown
NOG236433,General functional prediction only
NOG236432,Function unknown
NOG236431,Function unknown
NOG236430,Function unknown
NOG236437,General functional prediction only
NOG236436,General functional prediction only
NOG246029,Function unknown
NOG203838,Function unknown
NOG27670,Function unknown
NOG260995,Function unknown
NOG69698,Function unknown
NOG243937,Function unknown
NOG260247,Function unknown
NOG206773,Function unknown
NOG253355,Function unknown
NOG213471,Function unknown
NOG243353,Function unknown
NOG135004,Function unknown
NOG248292,Function unknown
NOG116203,Function unknown
NOG85738,Function unknown
NOG116201,Signal transduction
NOG116200,Function unknown
NOG261048,Function unknown
NOG116206,Function unknown
NOG228138,Function unknown
NOG116204,Function unknown
NOG85731,Function unknown
NOG85730,Function unknown
NOG116209,Function unknown
NOG128424,Function unknown
NOG10809,Function unknown
NOG10808,Function unknown
NOG206772,Function unknown
NOG05499,Function unknown
NOG245742,Function unknown
NOG10805,Function unknown
NOG10806,Function unknown
NOG77270,General functional prediction only
NOG223134,Function unknown
NOG77272,Function unknown
NOG77275,Function unknown
NOG77274,Function unknown
NOG77277,General functional prediction only
NOG77276,Function unknown
NOG77279,Function unknown
NOG251009,Function unknown
NOG246486,Chromatin structure and dynamics
NOG214186,Function unknown
NOG137440,General functional prediction only
NOG78424,Function unknown
NOG78427,"Post-translational modification, protein turnover, chaperone functions"
NOG235022,Function unknown
NOG17460,Function unknown
NOG248290,Function unknown
NOG137448,Function unknown
NOG81198,Function unknown
NOG133534,Function unknown
NOG115246,"Post-translational modification, protein turnover, chaperone functions"
NOG133536,Function unknown
NOG133537,Function unknown
NOG227582,Function unknown
NOG133533,Transcription
NOG233372,Function unknown
NOG260248,Replication and repair
NOG133538,Replication and repair
NOG248347,Function unknown
NOG215188,General functional prediction only
NOG69315,Function unknown
NOG233058,General functional prediction only
NOG05493,Function unknown
NOG240318,Function unknown
NOG233052,Function unknown
NOG233053,General functional prediction only
NOG233050,Function unknown
NOG233051,Function unknown
NOG233056,Function unknown
NOG233057,Function unknown
NOG233054,Function unknown
NOG250876,Function unknown
NOG207502,Function unknown
NOG237748,Function unknown
NOG237749,Function unknown
NOG249001,Function unknown
NOG145497,General functional prediction only
NOG237742,General functional prediction only
NOG237743,Function unknown
NOG237740,Signal transduction
NOG250874,Defense mechanisms
NOG206777,Function unknown
NOG237747,Transcription
NOG237744,Function unknown
NOG237745,Function unknown
NOG39898,Replication and repair
NOG134665,Transcription
NOG205062,Function unknown
NOG205060,General functional prediction only
NOG205061,Function unknown
NOG233085,General functional prediction only
NOG205067,Function unknown
NOG205064,Function unknown
NOG205065,Function unknown
NOG122144,Function unknown
NOG240626,Function unknown
NOG206776,Signal transduction
NOG201575,Function unknown
NOG243354,Function unknown
NOG202878,Function unknown
NOG202879,Function unknown
NOG256309,Function unknown
NOG256308,Function unknown
NOG202874,Function unknown
NOG202875,Function unknown
NOG221067,Intracellular trafficing and secretion
NOG202877,General functional prediction only
NOG202870,Function unknown
NOG202871,Function unknown
NOG256301,Function unknown
NOG256300,Function unknown
NOG81959,Function unknown
NOG255963,Function unknown
NOG255960,Function unknown
NOG70462,Function unknown
NOG255966,Function unknown
NOG255967,Function unknown
NOG255964,Function unknown
NOG232510,Function unknown
NOG255968,Function unknown
NOG255969,Function unknown
NOG76528,Function unknown
NOG232511,General functional prediction only
NOG116975,General functional prediction only
NOG116974,Function unknown
NOG116977,Function unknown
NOG44010,Function unknown
NOG116971,Cell cycle control and mitosis
NOG113475,Function unknown
NOG226572,Function unknown
NOG240393,Function unknown
NOG228136,Function unknown
NOG116978,Function unknown
NOG44343,Function unknown
NOG44016,Function unknown
NOG136316,Function unknown
NOG13797,Function unknown
NOG136313,Function unknown
NOG206774,Function unknown
NOG136310,Function unknown
NOG10113,Function unknown
NOG259157,Signal transduction
NOG10111,Function unknown
NOG133304,Function unknown
NOG10117,Function unknown
NOG252266,Function unknown
NOG10114,Function unknown
NOG210600,Replication and repair
NOG244378,Function unknown
NOG210603,Function unknown
NOG210604,Function unknown
NOG210605,Function unknown
NOG210606,Function unknown
NOG210607,Function unknown
NOG210608,Function unknown
NOG244370,Function unknown
NOG244373,Replication and repair
NOG244372,Function unknown
NOG257432,Function unknown
NOG244374,Function unknown
NOG244377,Function unknown
NOG213284,General functional prediction only
NOG248340,Function unknown
NOG213287,Function unknown
NOG213286,Function unknown
NOG79242,Function unknown
NOG223133,Function unknown
NOG82049,Function unknown
NOG228130,Function unknown
NOG254630,Function unknown
NOG216607,Defense mechanisms
NOG216604,Function unknown
NOG216605,Function unknown
NOG216603,Function unknown
NOG203589,General functional prediction only
NOG216601,Function unknown
NOG203587,Function unknown
NOG254635,General functional prediction only
NOG203585,Function unknown
NOG253615,Function unknown
NOG203583,"Post-translational modification, protein turnover, chaperone functions"
NOG203582,Function unknown
NOG203581,General functional prediction only
NOG75746,Function unknown
NOG114195,Function unknown
NOG114194,General functional prediction only
NOG114197,General functional prediction only
NOG70333,Function unknown
NOG114193,Function unknown
NOG242268,Function unknown
NOG149372,Function unknown
NOG46629,Function unknown
NOG114198,Function unknown
NOG254638,Function unknown
NOG83193,Function unknown
NOG83192,Function unknown
NOG112958,Function unknown
NOG263314,Function unknown
NOG226576,General functional prediction only
NOG233083,Cell wall/membrane/envelope biogenesis
NOG29048,Function unknown
NOG222425,Function unknown
NOG146827,Function unknown
NOG238828,Function unknown
NOG238829,Function unknown
NOG238827,Function unknown
NOG146828,Function unknown
NOG29042,Function unknown
NOG238822,Function unknown
NOG238823,Function unknown
NOG238820,Function unknown
NOG238821,General functional prediction only
NOG203055,Function unknown
NOG203054,Function unknown
NOG203057,Function unknown
NOG203056,Function unknown
NOG203051,Function unknown
NOG203050,Function unknown
NOG203053,Function unknown
NOG203052,Function unknown
NOG114227,Function unknown
NOG15692,General functional prediction only
NOG15690,Function unknown
NOG83402,Carbohydrate metabolism and transport
NOG255480,Function unknown
NOG245197,Function unknown
NOG118532,Function unknown
NOG223673,Function unknown
NOG118535,Function unknown
NOG118534,Function unknown
NOG259939,Function unknown
NOG126562,Function unknown
NOG131731,Function unknown
NOG121420,Function unknown
NOG259931,Function unknown
NOG259930,General functional prediction only
NOG259933,Function unknown
NOG259932,Cell wall/membrane/envelope biogenesis
NOG259935,Function unknown
NOG221788,Replication and repair
NOG259937,General functional prediction only
NOG06335,Function unknown
NOG223398,Function unknown
NOG77176,Function unknown
NOG253478,Function unknown
NOG253479,Function unknown
NOG25214,Function unknown
NOG77177,Function unknown
NOG223672,Function unknown
NOG223391,General functional prediction only
NOG223392,Function unknown
NOG253471,Function unknown
NOG253476,Function unknown
NOG207602,Function unknown
NOG253474,Function unknown
NOG223397,Function unknown
NOG242213,Function unknown
NOG260179,General functional prediction only
NOG260178,Energy production and conversion
NOG263317,Function unknown
NOG135154,Function unknown
NOG135155,Function unknown
NOG223138,Function unknown
NOG135157,General functional prediction only
NOG260171,General functional prediction only
NOG260170,Function unknown
NOG260173,Function unknown
NOG135153,Function unknown
NOG137940,Transcription
NOG137943,Function unknown
NOG137945,Function unknown
NOG77170,Function unknown
NOG137946,Inorganic ion transport and metabolism
NOG228070,General functional prediction only
NOG12513,Function unknown
NOG128797,Function unknown
NOG207608,Function unknown
NOG227097,Signal transduction
NOG242219,Function unknown
NOG223139,Function unknown
NOG246882,Function unknown
NOG67718,General functional prediction only
NOG228071,Function unknown
NOG67710,Function unknown
NOG67717,Function unknown
NOG72390,Function unknown
NOG67715,Energy production and conversion
NOG28798,Function unknown
NOG211020,Function unknown
NOG248695,Function unknown
NOG87185,Function unknown
NOG28790,Function unknown
NOG219244,Function unknown
NOG263058,Function unknown
NOG209516,Function unknown
NOG209517,Function unknown
NOG117758,Function unknown
NOG209512,Function unknown
NOG209513,Transcription
NOG209510,Function unknown
NOG209511,Function unknown
NOG210053,Function unknown
NOG219166,General functional prediction only
NOG117757,Function unknown
NOG209518,Function unknown
NOG209519,Function unknown
NOG29737,Function unknown
NOG212322,Function unknown
NOG146790,Amino acid metabolism and transport
NOG146791,Function unknown
NOG146793,Function unknown
NOG146795,Function unknown
NOG254178,Function unknown
NOG146797,General functional prediction only
NOG213726,Function unknown
NOG139891,Function unknown
NOG213724,General functional prediction only
NOG213725,Function unknown
NOG213722,General functional prediction only
NOG213723,Function unknown
NOG213720,Function unknown
NOG213721,Function unknown
NOG217134,Function unknown
NOG115227,Function unknown
NOG213728,Function unknown
NOG213729,Function unknown
NOG38937,Function unknown
NOG38936,Function unknown
NOG222449,Function unknown
NOG38934,Replication and repair
NOG38933,General functional prediction only
NOG38930,Function unknown
NOG230279,Function unknown
NOG222442,Function unknown
NOG216929,Function unknown
NOG222440,Coenzyme metabolism
NOG222447,Transcription
NOG222446,Function unknown
NOG222444,Transcription
NOG255140,Function unknown
NOG44664,Function unknown
NOG205585,Function unknown
NOG255143,Function unknown
NOG39048,Function unknown
NOG255145,"Post-translational modification, protein turnover, chaperone functions"
NOG255146,Transcription
NOG72395,Function unknown
NOG255148,Function unknown
NOG134206,Function unknown
NOG134205,Replication and repair
NOG134204,Function unknown
NOG134203,Function unknown
NOG134200,Function unknown
NOG248690,Function unknown
NOG128218,Function unknown
NOG148355,Function unknown
NOG14004,Function unknown
NOG18614,Function unknown
NOG128212,Function unknown
NOG128215,Function unknown
NOG128214,Function unknown
NOG82359,Function unknown
NOG214442,Function unknown
NOG219918,Chromatin structure and dynamics
NOG240011,Function unknown
NOG72394,Function unknown
NOG260829,Function unknown
NOG260828,Function unknown
NOG260827,Function unknown
NOG260826,Function unknown
NOG260825,Function unknown
NOG260824,Transcription
NOG260823,General functional prediction only
NOG260822,Function unknown
NOG260821,Function unknown
NOG260820,Function unknown
NOG213493,Function unknown
NOG69979,Function unknown
NOG149378,Function unknown
NOG69975,Function unknown
NOG214446,Function unknown
NOG69976,Transcription
NOG69971,General functional prediction only
NOG213495,General functional prediction only
NOG73946,Function unknown
NOG210276,Function unknown
NOG214445,General functional prediction only
NOG73942,Function unknown
NOG73941,Function unknown
NOG73940,General functional prediction only
NOG204554,Function unknown
NOG214519,Cell motility
NOG17873,Function unknown
NOG13393,Function unknown
NOG13395,Function unknown
NOG13397,Function unknown
NOG214510,Transcription
NOG214512,Function unknown
NOG214513,Function unknown
NOG214514,Function unknown
NOG214515,General functional prediction only
NOG214516,Cell wall/membrane/envelope biogenesis
NOG214517,Function unknown
NOG261495,Function unknown
NOG214449,Function unknown
NOG261494,Function unknown
NOG260196,Function unknown
NOG254985,Function unknown
NOG147462,Function unknown
NOG147464,Function unknown
NOG147467,Function unknown
NOG204735,Function unknown
NOG41019,Amino acid metabolism and transport
NOG68598,Function unknown
NOG06569,Function unknown
NOG254981,Function unknown
NOG262089,Function unknown
NOG262088,Function unknown
NOG262087,Function unknown
NOG262086,Cell motility
NOG262085,Function unknown
NOG261492,Function unknown
NOG68594,Function unknown
NOG201604,Energy production and conversion
NOG262081,Function unknown
NOG262080,Function unknown
NOG226371,Function unknown
NOG41014,Coenzyme metabolism
NOG226373,Function unknown
NOG226372,Function unknown
NOG226375,Function unknown
NOG248343,Function unknown
NOG87318,Function unknown
NOG226378,Function unknown
NOG233354,Function unknown
NOG215391,Function unknown
NOG215390,Function unknown
NOG215393,Function unknown
NOG215392,Function unknown
NOG215395,Function unknown
NOG215394,Function unknown
NOG215397,Signal transduction
NOG215396,Function unknown
NOG215399,General functional prediction only
NOG215398,Function unknown
NOG46070,Function unknown
NOG80883,Function unknown
NOG218514,Function unknown
NOG06561,Function unknown
NOG207038,Function unknown
NOG218510,Function unknown
NOG218511,Function unknown
NOG218512,Function unknown
NOG77285,Function unknown
NOG28193,Function unknown
NOG123946,Function unknown
NOG218519,Transcription
NOG262555,Replication and repair
NOG262554,Function unknown
NOG262557,Function unknown
NOG262556,General functional prediction only
NOG262551,Function unknown
NOG262553,Function unknown
NOG68629,Function unknown
NOG68627,Cell cycle control and mitosis
NOG112851,Function unknown
NOG262559,Function unknown
NOG262558,Function unknown
NOG246884,General functional prediction only
NOG77281,Function unknown
NOG221307,Function unknown
NOG135638,General functional prediction only
NOG254798,Function unknown
NOG223476,Function unknown
NOG223471,Function unknown
NOG77282,Function unknown
NOG76593,Function unknown
NOG254792,Function unknown
NOG254793,Function unknown
NOG240141,General functional prediction only
NOG06566,Transcription
NOG223479,Function unknown
NOG223478,Function unknown
NOG118296,Function unknown
NOG254795,Function unknown
NOG225136,General functional prediction only
NOG127299,Function unknown
NOG225134,Function unknown
NOG258716,Function unknown
NOG225132,Function unknown
NOG225133,Function unknown
NOG225130,General functional prediction only
NOG225131,Function unknown
NOG242827,Function unknown
NOG242561,Function unknown
NOG127295,Function unknown
NOG127296,Function unknown
NOG127297,Replication and repair
NOG72306,Function unknown
NOG241185,Function unknown
NOG72304,Function unknown
NOG72305,Function unknown
NOG224849,Function unknown
NOG72303,Energy production and conversion
NOG72300,Function unknown
NOG137168,Function unknown
NOG137167,General functional prediction only
NOG224847,Replication and repair
NOG207034,Function unknown
NOG137163,Carbohydrate metabolism and transport
NOG224840,General functional prediction only
NOG224843,General functional prediction only
NOG224842,Function unknown
NOG76815,Function unknown
NOG76812,Function unknown
NOG26650,Function unknown
NOG218822,Function unknown
NOG76811,Function unknown
NOG211925,Function unknown
NOG76819,Function unknown
NOG04035,Function unknown
NOG04034,Function unknown
NOG241183,Function unknown
NOG04033,Function unknown
NOG241182,Energy production and conversion
NOG04038,General functional prediction only
NOG207239,Function unknown
NOG207238,Function unknown
NOG71451,General functional prediction only
NOG207235,Function unknown
NOG134355,Function unknown
NOG207237,General functional prediction only
NOG207236,Function unknown
NOG207231,Energy production and conversion
NOG207230,Function unknown
NOG40802,Function unknown
NOG71458,Function unknown
NOG05174,Function unknown
NOG249135,General functional prediction only
NOG252532,Function unknown
NOG244067,Function unknown
NOG219644,Function unknown
NOG219643,Transcription
NOG219642,Function unknown
NOG219641,Function unknown
NOG219640,General functional prediction only
NOG206802,Function unknown
NOG219649,Function unknown
NOG219648,Function unknown
NOG203193,Function unknown
NOG39115,Function unknown
NOG84913,Function unknown
NOG240635,Function unknown
NOG203873,Function unknown
NOG150080,Function unknown
NOG28397,Function unknown
NOG220936,Function unknown
NOG207583,Function unknown
NOG224268,Function unknown
NOG207581,Function unknown
NOG207580,Function unknown
NOG207587,Cytoskeleton
NOG207586,Function unknown
NOG207584,Function unknown
NOG224261,Function unknown
NOG224260,"Post-translational modification, protein turnover, chaperone functions"
NOG224263,Transcription
NOG207588,Function unknown
NOG224265,Function unknown
NOG224264,Function unknown
NOG11964,General functional prediction only
NOG224266,Function unknown
NOG230178,Function unknown
NOG230179,Function unknown
NOG120749,Function unknown
NOG227408,Function unknown
NOG227409,Function unknown
NOG226906,Function unknown
NOG227404,Function unknown
NOG120742,Function unknown
NOG230172,Function unknown
NOG227407,Transcription
NOG230174,Function unknown
NOG230175,"Post-translational modification, protein turnover, chaperone functions"
NOG230176,Function unknown
NOG230177,Transcription
NOG131640,Function unknown
NOG131641,Function unknown
NOG230524,Function unknown
NOG131644,Function unknown
NOG238368,Function unknown
NOG131646,Function unknown
NOG238365,Function unknown
NOG238364,Chromatin structure and dynamics
NOG238367,Transcription
NOG238366,Function unknown
NOG238361,Function unknown
NOG245744,General functional prediction only
NOG138923,Function unknown
NOG138921,Cell wall/membrane/envelope biogenesis
NOG138926,Function unknown
NOG138925,Function unknown
NOG138929,Function unknown
NOG124242,Coenzyme metabolism
NOG260939,Function unknown
NOG261180,Function unknown
NOG124245,Function unknown
NOG76102,Function unknown
NOG76104,Function unknown
NOG213144,General functional prediction only
NOG76107,Function unknown
NOG139345,General functional prediction only
NOG139347,Function unknown
NOG236203,Function unknown
NOG206188,Function unknown
NOG206189,Function unknown
NOG139342,Function unknown
NOG73165,Function unknown
NOG220933,General functional prediction only
NOG206186,Function unknown
NOG206187,Function unknown
NOG206180,General functional prediction only
NOG139348,Function unknown
NOG206182,Function unknown
NOG206183,Function unknown
NOG221727,General functional prediction only
NOG221726,Function unknown
NOG221725,Function unknown
NOG221724,Function unknown
NOG221723,Function unknown
NOG221722,General functional prediction only
NOG221721,Function unknown
NOG87466,Function unknown
NOG138690,Function unknown
NOG221464,Function unknown
NOG138692,Function unknown
NOG224666,Function unknown
NOG138694,Signal transduction
NOG138695,Function unknown
NOG221729,Function unknown
NOG221728,Function unknown
NOG83247,Energy production and conversion
NOG203877,Function unknown
NOG228828,General functional prediction only
NOG236209,Transcription
NOG113950,Function unknown
NOG241890,Function unknown
NOG148450,Function unknown
NOG28258,Function unknown
NOG45972,Function unknown
NOG45971,Function unknown
NOG45970,Function unknown
NOG45977,Function unknown
NOG45976,General functional prediction only
NOG45975,Function unknown
NOG45974,Function unknown
NOG04928,Function unknown
NOG248051,Replication and repair
NOG113953,Function unknown
NOG69508,Function unknown
NOG123414,Function unknown
NOG238589,Function unknown
NOG43725,Function unknown
NOG43726,Function unknown
NOG112701,Function unknown
NOG43720,Function unknown
NOG43721,Function unknown
NOG43722,Function unknown
NOG228822,Function unknown
NOG238581,Function unknown
NOG123412,Function unknown
NOG238583,Function unknown
NOG238582,Function unknown
NOG238585,Transcription
NOG238584,Function unknown
NOG238587,Function unknown
NOG233642,General functional prediction only
NOG243257,Function unknown
NOG243256,Function unknown
NOG243255,Function unknown
NOG243254,Function unknown
NOG236639,Function unknown
NOG236638,"Post-translational modification, protein turnover, chaperone functions"
NOG243250,"Post-translational modification, protein turnover, chaperone functions"
NOG236635,Function unknown
NOG236634,General functional prediction only
NOG236636,Function unknown
NOG236631,Function unknown
NOG236630,General functional prediction only
NOG243259,Function unknown
NOG236632,"Post-translational modification, protein turnover, chaperone functions"
NOG225090,Function unknown
NOG204559,Function unknown
NOG121482,Function unknown
NOG227271,Function unknown
NOG204799,General functional prediction only
NOG115864,Function unknown
NOG115860,Function unknown
NOG125595,Function unknown
NOG121223,Function unknown
NOG125597,Function unknown
NOG79052,Function unknown
NOG222005,Function unknown
NOG125593,Function unknown
NOG125592,Function unknown
NOG246956,Function unknown
NOG225052,Function unknown
NOG125598,Function unknown
NOG236183,Function unknown
NOG71066,Function unknown
NOG236181,Transcription
NOG236187,Function unknown
NOG236186,Function unknown
NOG236185,Amino acid metabolism and transport
NOG236184,Function unknown
NOG208106,Function unknown
NOG236189,Function unknown
NOG236188,Carbohydrate metabolism and transport
NOG72053,Function unknown
NOG146205,Replication and repair
NOG239182,Function unknown
NOG239183,Function unknown
NOG77471,Function unknown
NOG255583,Function unknown
NOG239186,Transcription
NOG129438,Function unknown
NOG77475,Function unknown
NOG239185,Function unknown
NOG71062,Function unknown
NOG239188,Transcription
NOG239189,Function unknown
NOG28960,Function unknown
NOG132695,General functional prediction only
NOG47857,Function unknown
NOG257815,Function unknown
NOG125629,Function unknown
NOG257817,General functional prediction only
NOG78627,Function unknown
NOG134649,Function unknown
NOG257812,Transcription
NOG257813,General functional prediction only
NOG125622,Function unknown
NOG78628,Function unknown
NOG125627,Function unknown
NOG257819,Function unknown
NOG125625,Function unknown
NOG125624,Transcription
NOG134647,Function unknown
NOG124730,Function unknown
NOG255589,Function unknown
NOG139624,Function unknown
NOG69863,Intracellular trafficing and secretion
NOG261001,Function unknown
NOG115945,Function unknown
NOG46774,Function unknown
NOG39451,Function unknown
NOG46776,Replication and repair
NOG46777,Function unknown
NOG46770,General functional prediction only
NOG201320,Function unknown
NOG201323,General functional prediction only
NOG201322,Cell wall/membrane/envelope biogenesis
NOG241715,General functional prediction only
NOG217798,Function unknown
NOG201329,General functional prediction only
NOG201328,Function unknown
NOG145652,Function unknown
NOG06046,Function unknown
NOG255728,Function unknown
NOG258214,Function unknown
NOG06042,Function unknown
NOG237589,Function unknown
NOG06040,Function unknown
NOG255729,Function unknown
NOG237584,General functional prediction only
NOG237585,Function unknown
NOG237587,Function unknown
NOG237580,Function unknown
NOG237581,Function unknown
NOG39450,Function unknown
NOG69213,Function unknown
NOG44738,Function unknown
NOG44739,Function unknown
NOG203878,Function unknown
NOG39709,Function unknown
NOG241716,Function unknown
NOG44732,Function unknown
NOG258210,Coenzyme metabolism
NOG44736,Function unknown
NOG44735,Function unknown
NOG120426,Function unknown
NOG26115,General functional prediction only
NOG217791,Function unknown
NOG205885,Function unknown
NOG39706,Function unknown
NOG139756,General functional prediction only
NOG212882,Function unknown
NOG204493,Function unknown
NOG137111,Function unknown
NOG227746,Function unknown
NOG120425,Function unknown
NOG242618,Function unknown
NOG242619,Function unknown
NOG249648,Function unknown
NOG87200,Function unknown
NOG249646,Function unknown
NOG249647,Function unknown
NOG242616,Function unknown
NOG249645,Function unknown
NOG249642,Function unknown
NOG242611,Cell wall/membrane/envelope biogenesis
NOG87209,Function unknown
NOG242613,Replication and repair
NOG241093,Function unknown
NOG241092,Transcription
NOG241091,Chromatin structure and dynamics
NOG241090,Function unknown
NOG241097,"Post-translational modification, protein turnover, chaperone functions"
NOG241096,Function unknown
NOG241095,Function unknown
NOG241094,Function unknown
NOG227181,Function unknown
NOG227180,Function unknown
NOG227183,Function unknown
NOG227182,Function unknown
NOG227185,Function unknown
NOG227184,Function unknown
NOG227187,Lipid metabolism
NOG227186,Function unknown
NOG205512,Function unknown
NOG205510,General functional prediction only
NOG139759,Function unknown
NOG205516,Function unknown
NOG247551,Function unknown
NOG247552,Function unknown
NOG247553,Function unknown
NOG215278,Function unknown
NOG71659,Function unknown
NOG234081,Function unknown
NOG247558,Function unknown
NOG247559,Signal transduction
NOG230916,Transcription
NOG151096,Function unknown
NOG230914,"Post-translational modification, protein turnover, chaperone functions"
NOG230912,General functional prediction only
NOG230913,Function unknown
NOG151091,Function unknown
NOG151090,Replication and repair
NOG123505,Function unknown
NOG04998,Function unknown
NOG120681,Function unknown
NOG83832,Function unknown
NOG123501,Function unknown
NOG230918,Function unknown
NOG230919,General functional prediction only
NOG136735,Function unknown
NOG131809,Function unknown
NOG126212,Function unknown
NOG226866,Function unknown
NOG78999,Function unknown
NOG78998,Function unknown
NOG136736,Function unknown
NOG115940,Signal transduction
NOG78990,Function unknown
NOG83833,Function unknown
NOG78995,Function unknown
NOG78994,Function unknown
NOG78996,Function unknown
NOG216448,Function unknown
NOG256398,Function unknown
NOG226861,Function unknown
NOG77829,Function unknown
NOG216440,Function unknown
NOG216441,Function unknown
NOG149035,Function unknown
NOG216443,Function unknown
NOG216444,Function unknown
NOG216445,Function unknown
NOG216446,Function unknown
NOG216447,Function unknown
NOG233463,Signal transduction
NOG233462,Function unknown
NOG233461,Function unknown
NOG233460,Function unknown
NOG233467,Function unknown
NOG233466,Function unknown
NOG256028,Replication and repair
NOG233464,Function unknown
NOG256026,Function unknown
NOG256027,Transcription
NOG233469,Function unknown
NOG233468,Function unknown
NOG256022,Function unknown
NOG256023,Function unknown
NOG256020,Function unknown
NOG256021,Function unknown
NOG86558,Function unknown
NOG121626,Defense mechanisms
NOG216559,Function unknown
NOG121623,Intracellular trafficing and secretion
NOG121620,Function unknown
NOG86550,Function unknown
NOG86551,Function unknown
NOG86555,Function unknown
NOG86556,Function unknown
NOG121628,General functional prediction only
NOG248111,Function unknown
NOG248110,Function unknown
NOG248113,Function unknown
NOG248112,Function unknown
NOG248115,Function unknown
NOG128211,Function unknown
NOG245349,Function unknown
NOG245348,Function unknown
NOG248119,General functional prediction only
NOG213831,Function unknown
NOG245345,Function unknown
NOG05026,Energy production and conversion
NOG05020,Function unknown
NOG05023,Energy production and conversion
NOG245340,Function unknown
NOG253062,Function unknown
NOG256395,Function unknown
NOG203217,General functional prediction only
NOG203216,Function unknown
NOG256796,Function unknown
NOG41817,Function unknown
NOG246603,Transcription
NOG41811,Function unknown
NOG203211,General functional prediction only
NOG203210,Function unknown
NOG256397,Function unknown
NOG256798,Function unknown
NOG41819,Function unknown
NOG203219,General functional prediction only
NOG203218,Transcription
NOG226862,Function unknown
NOG207919,Function unknown
NOG148423,Function unknown
NOG118739,Function unknown
NOG148425,Function unknown
NOG252265,Function unknown
NOG207910,Function unknown
NOG118734,Defense mechanisms
NOG207912,General functional prediction only
NOG207913,Function unknown
NOG207914,Function unknown
NOG207915,General functional prediction only
NOG207916,Function unknown
NOG207917,Replication and repair
NOG84476,General functional prediction only
NOG210363,Function unknown
NOG210362,Function unknown
NOG228728,Function unknown
NOG113850,Function unknown
NOG113853,General functional prediction only
NOG113855,Function unknown
NOG201417,Function unknown
NOG85111,Function unknown
NOG228721,Function unknown
NOG228722,Function unknown
NOG124803,Function unknown
NOG228724,Function unknown
NOG85114,Function unknown
NOG85117,Function unknown
NOG228727,Function unknown
NOG150698,Function unknown
NOG253621,Function unknown
NOG244768,Transcription
NOG244769,Function unknown
NOG244766,Function unknown
NOG244764,Intracellular trafficing and secretion
NOG244765,Transcription
NOG244762,Function unknown
NOG244763,Function unknown
NOG244760,Function unknown
NOG244761,General functional prediction only
NOG257771,General functional prediction only
NOG234113,Function unknown
NOG234110,Function unknown
NOG234111,Transcription
NOG118087,Secondary structure
NOG257774,Lipid metabolism
NOG257777,Function unknown
NOG234115,Function unknown
NOG257779,Function unknown
NOG257778,General functional prediction only
NOG234118,RNA processing and modification
NOG234119,Function unknown
NOG249747,Function unknown
NOG45526,Function unknown
NOG258069,Function unknown
NOG210368,Function unknown
NOG217865,Function unknown
NOG145594,Function unknown
NOG241719,Function unknown
NOG245031,Function unknown
NOG238219,Transcription
NOG39314,Function unknown
NOG129909,Replication and repair
NOG129904,Function unknown
NOG204935,Function unknown
NOG129903,Function unknown
NOG217860,Function unknown
NOG245032,Function unknown
NOG146658,Transcription
NOG248007,Function unknown
NOG248006,Function unknown
NOG47418,Function unknown
NOG47419,Function unknown
NOG245037,Function unknown
NOG76488,Function unknown
NOG47412,Function unknown
NOG47410,Function unknown
NOG248004,Function unknown
NOG47414,Function unknown
NOG217183,Coenzyme metabolism
NOG120392,Function unknown
NOG225610,Function unknown
NOG255320,Function unknown
NOG115343,General functional prediction only
NOG250443,General functional prediction only
NOG240018,Function unknown
NOG241993,Function unknown
NOG247231,Transcription
NOG247230,Function unknown
NOG247233,Function unknown
NOG247232,Function unknown
NOG247237,Function unknown
NOG247236,Function unknown
NOG247239,Chromatin structure and dynamics
NOG247238,Function unknown
NOG225617,Function unknown
NOG87710,Function unknown
NOG39317,Function unknown
NOG123088,Function unknown
NOG82668,Function unknown
NOG117282,Function unknown
NOG204932,Function unknown
NOG123081,Function unknown
NOG87459,Function unknown
NOG123082,Function unknown
NOG82666,Function unknown
NOG82664,General functional prediction only
NOG82665,Function unknown
NOG81318,Function unknown
NOG78314,Function unknown
NOG81310,Function unknown
NOG81316,Function unknown
NOG84791,Function unknown
NOG112814,Function unknown
NOG112815,Function unknown
NOG112812,Function unknown
NOG84796,Function unknown
NOG112811,Function unknown
NOG84798,General functional prediction only
NOG39944,Function unknown
NOG216087,Function unknown
NOG112818,Function unknown
NOG242597,Function unknown
NOG251328,Cell wall/membrane/envelope biogenesis
NOG251321,"Post-translational modification, protein turnover, chaperone functions"
NOG251322,Function unknown
NOG251323,Function unknown
NOG251324,Function unknown
NOG251325,Cell wall/membrane/envelope biogenesis
NOG214981,Intracellular trafficing and secretion
NOG243627,Function unknown
NOG13150,Function unknown
NOG13156,Function unknown
NOG248219,Function unknown
NOG228188,Function unknown
NOG238872,Signal transduction
NOG203304,Function unknown
NOG67868,Function unknown
NOG236655,Function unknown
NOG129014,Function unknown
NOG256809,Function unknown
NOG253878,Function unknown
NOG253879,Function unknown
NOG256804,Function unknown
NOG253877,Function unknown
NOG256806,Function unknown
NOG256807,Function unknown
NOG256800,Function unknown
NOG256801,Function unknown
