OG,category
COG5314,Intracellular trafficing and secretion
COG3451,Intracellular trafficing and secretion
COG3628,General functional prediction only
COG5418,Function unknown
COG5419,Function unknown
COG5412,Function unknown
COG5413,Function unknown
COG5410,Function unknown
COG5411,Signal transduction
COG5416,Function unknown
COG5417,Function unknown
COG5414,Transcription
COG5415,General functional prediction only
COG2888,Translation
COG0548,Amino acid metabolism and transport
COG3577,General functional prediction only
COG1879,Carbohydrate metabolism and transport
COG2162,Secondary structure
COG4342,Function unknown
COG3832,Function unknown
COG3381,General functional prediction only
COG3382,Function unknown
COG3383,General functional prediction only
COG3384,Function unknown
COG3837,Function unknown
COG3386,Carbohydrate metabolism and transport
COG3835,Transcription
COG3388,Function unknown
COG3453,Function unknown
COG1597,Lipid metabolism
COG3839,Carbohydrate metabolism and transport
COG0448,Carbohydrate metabolism and transport
COG0471,Inorganic ion transport and metabolism
COG2166,General functional prediction only
COG2880,Function unknown
COG5643,General functional prediction only
COG5129,General functional prediction only
COG1611,General functional prediction only
COG5595,General functional prediction only
COG2881,Function unknown
COG1886,Cell motility
COG1613,Inorganic ion transport and metabolism
COG3454,Inorganic ion transport and metabolism
COG2013,Function unknown
COG1614,Energy production and conversion
COG2011,Inorganic ion transport and metabolism
COG2010,Energy production and conversion
COG2017,Carbohydrate metabolism and transport
COG2016,Translation
COG2015,Secondary structure
COG2014,Function unknown
COG5283,Function unknown
COG0442,Translation
COG1201,General functional prediction only
COG5123,Transcription
COG1200,Replication and repair
COG0440,Amino acid metabolism and transport
COG0153,Carbohydrate metabolism and transport
COG4943,Signal transduction
COG4942,Cell cycle control and mitosis
COG4941,Transcription
COG4940,Intracellular trafficing and secretion
COG4947,Function unknown
COG4946,Function unknown
COG4945,Carbohydrate metabolism and transport
COG4944,Function unknown
COG1740,Energy production and conversion
COG0446,General functional prediction only
COG4949,Function unknown
COG4948,Cell wall/membrane/envelope biogenesis
COG1297,Function unknown
COG1739,Function unknown
COG0332,Lipid metabolism
COG0389,Replication and repair
COG0445,Cell cycle control and mitosis
COG2127,Function unknown
COG2126,Translation
COG2125,Translation
COG2124,Secondary structure
COG2123,Translation
COG2122,Function unknown
COG2121,Function unknown
COG2120,Function unknown
COG4188,General functional prediction only
COG2129,General functional prediction only
COG2128,Function unknown
COG4187,Amino acid metabolism and transport
COG3471,Function unknown
COG0388,General functional prediction only
COG2884,Cell cycle control and mitosis
COG0809,Translation
COG3457,Amino acid metabolism and transport
COG5073,Intracellular trafficing and secretion
COG4691,General functional prediction only
COG1498,Translation
COG2469,Function unknown
COG2461,Function unknown
COG4891,Function unknown
COG4890,Function unknown
COG4893,Function unknown
COG4892,General functional prediction only
COG2268,Function unknown
COG2269,Translation
COG5074,Intracellular trafficing and secretion
COG4896,Function unknown
COG2264,Translation
COG2265,Translation
COG2266,Coenzyme metabolism
COG2267,Lipid metabolism
COG2260,Translation
COG4343,Function unknown
COG2262,General functional prediction only
COG2263,Translation
COG2959,Coenzyme metabolism
COG5132,Transcription
COG1732,Cell wall/membrane/envelope biogenesis
COG4344,Function unknown
COG4698,Function unknown
COG2815,Function unknown
COG2814,Carbohydrate metabolism and transport
COG1002,Defense mechanisms
COG2952,Function unknown
COG3029,Energy production and conversion
COG3028,Function unknown
COG3025,Function unknown
COG3024,Function unknown
COG3027,Function unknown
COG3026,Signal transduction
COG3021,Function unknown
COG4062,Coenzyme metabolism
COG3023,Defense mechanisms
COG3022,Function unknown
COG0615,Cell wall/membrane/envelope biogenesis
COG4769,Function unknown
COG1688,Replication and repair
COG5285,Secondary structure
COG3560,General functional prediction only
COG2221,Energy production and conversion
COG4763,Function unknown
COG4762,Function unknown
COG4760,Function unknown
COG4767,Defense mechanisms
COG4766,Amino acid metabolism and transport
COG4765,Function unknown
COG4764,Function unknown
COG3569,Replication and repair
COG1840,Inorganic ion transport and metabolism
COG1843,Cell motility
COG1842,Transcription
COG1845,Energy production and conversion
COG1844,Function unknown
COG1847,General functional prediction only
COG1846,Transcription
COG2390,Transcription
COG1848,General functional prediction only
COG0614,Inorganic ion transport and metabolism
COG3240,Lipid metabolism
COG0730,General functional prediction only
COG0731,Energy production and conversion
COG0732,Defense mechanisms
COG3707,Signal transduction
COG0735,Inorganic ion transport and metabolism
COG0736,Lipid metabolism
COG0737,Nucleotide metabolism and transport
COG0738,Carbohydrate metabolism and transport
COG0739,Cell wall/membrane/envelope biogenesis
COG3242,Function unknown
COG2082,Coenzyme metabolism
COG2083,Function unknown
COG4420,Function unknown
COG4421,Carbohydrate metabolism and transport
COG4422,Function unknown
COG4423,Function unknown
COG4424,Function unknown
COG4425,Function unknown
COG4427,Function unknown
COG2084,Lipid metabolism
COG1859,Translation
COG5078,"Post-translational modification, protein turnover, chaperone functions"
COG3739,Function unknown
COG3738,Function unknown
COG3588,Carbohydrate metabolism and transport
COG3731,Carbohydrate metabolism and transport
COG3730,Carbohydrate metabolism and transport
COG3733,Secondary structure
COG3732,Carbohydrate metabolism and transport
COG3735,Function unknown
COG3734,Carbohydrate metabolism and transport
COG3737,Function unknown
COG3736,Intracellular trafficing and secretion
COG1105,Carbohydrate metabolism and transport
COG1422,Function unknown
COG5079,Intracellular trafficing and secretion
COG5388,Function unknown
COG5389,Function unknown
COG1447,Carbohydrate metabolism and transport
COG5383,Function unknown
COG5380,"Post-translational modification, protein turnover, chaperone functions"
COG5381,Function unknown
COG5386,Cell wall/membrane/envelope biogenesis
COG5387,"Post-translational modification, protein turnover, chaperone functions"
COG5384,Translation
COG5385,Function unknown
COG4398,Function unknown
COG4399,Function unknown
COG5148,"Post-translational modification, protein turnover, chaperone functions"
COG0429,General functional prediction only
COG0398,Function unknown
COG0399,Cell wall/membrane/envelope biogenesis
COG4392,Function unknown
COG5145,Replication and repair
COG5146,Coenzyme metabolism
COG0427,Energy production and conversion
COG0392,Function unknown
COG5141,General functional prediction only
COG5142,Replication and repair
COG0391,Function unknown
COG3605,Signal transduction
COG3604,Transcription
COG3607,General functional prediction only
COG4558,Inorganic ion transport and metabolism
COG4559,Inorganic ion transport and metabolism
COG3603,Function unknown
COG3602,Function unknown
COG4555,Energy production and conversion
COG3609,Transcription
COG3608,General functional prediction only
COG4552,General functional prediction only
COG4553,Lipid metabolism
COG5233,Intracellular trafficing and secretion
COG3366,Function unknown
