Score,Model,Data
-0.34194078645446524,NO2 (µmol/L),Function
0.12517995700748097,NO2 (µmol/L),Function
-4.390330026098313,NO2 (µmol/L),Function
-0.34063314630309005,NO2 (µmol/L),Function
-2.7850464115363285,NO2 (µmol/L),Function
0.10636784155100021,NO2 (µmol/L),Function
0.34158181764940343,PO4 (µmol/L),Function
0.06781113697670571,PO4 (µmol/L),Function
0.7671957517449552,PO4 (µmol/L),Function
0.6816053182037292,PO4 (µmol/L),Function
0.6717419051442679,PO4 (µmol/L),Function
0.6107590448681538,PO4 (µmol/L),Function
0.33616322459562376,PO4 (µmol/L),Function
0.5679435984416114,PO4 (µmol/L),Function
0.5697390246738188,PO4 (µmol/L),Function
0.7542070696781071,PO4 (µmol/L),Function
0.635257003871365,PO4 (µmol/L),Function
0.7874386153760852,PO4 (µmol/L),Function
0.05874067698833063,PO4 (µmol/L),Function
-2.7546590387400154,PO4 (µmol/L),Function
0.5747290647854282,PO4 (µmol/L),Function
0.646863154555217,PO4 (µmol/L),Function
-0.1983932906975312,PO4 (µmol/L),Function
0.7899078518933562,PO4 (µmol/L),Function
0.5372753849414311,PO4 (µmol/L),Function
0.8539758600093439,PO4 (µmol/L),Function
0.6666666666666666,Environmental Feature,Function
0.6666666666666666,Environmental Feature,Function
0.7619047619047619,Environmental Feature,Function
0.6666666666666666,Environmental Feature,Function
0.7619047619047619,Environmental Feature,Function
0.47619047619047616,Environmental Feature,Function
0.7619047619047619,Environmental Feature,Function
0.7619047619047619,Environmental Feature,Function
0.47619047619047616,Environmental Feature,Function
0.8095238095238095,Environmental Feature,Function
0.6190476190476191,Environmental Feature,Function
0.7619047619047619,Environmental Feature,Function
0.5238095238095238,Environmental Feature,Function
0.7619047619047619,Environmental Feature,Function
0.9047619047619048,Environmental Feature,Function
0.7619047619047619,Environmental Feature,Function
0.9047619047619048,Environmental Feature,Function
0.6190476190476191,Environmental Feature,Function
0.6666666666666666,Environmental Feature,Function
0.7619047619047619,Environmental Feature,Function
0.6666666666666666,Biome,Function
0.6190476190476191,Biome,Function
0.5238095238095238,Biome,Function
0.6190476190476191,Biome,Function
0.7142857142857143,Biome,Function
0.5714285714285714,Biome,Function
0.5714285714285714,Biome,Function
0.5714285714285714,Biome,Function
0.6666666666666666,Biome,Function
0.6666666666666666,Biome,Function
0.5238095238095238,Biome,Function
0.7619047619047619,Biome,Function
0.7619047619047619,Biome,Function
0.5714285714285714,Biome,Function
0.8095238095238095,Biome,Function
0.6666666666666666,Biome,Function
0.8095238095238095,Biome,Function
0.47619047619047616,Biome,Function
0.47619047619047616,Biome,Function
0.6190476190476191,Biome,Function
0.42857142857142855,Region,Function
0.6190476190476191,Region,Function
0.19047619047619047,Region,Function
0.47619047619047616,Region,Function
0.2857142857142857,Region,Function
0.5714285714285714,Region,Function
0.6190476190476191,Region,Function
0.47619047619047616,Region,Function
0.5238095238095238,Region,Function
0.5238095238095238,Region,Function
0.5238095238095238,Region,Function
0.5238095238095238,Region,Function
0.7142857142857143,Region,Function
0.38095238095238093,Region,Function
0.5238095238095238,Region,Function
0.47619047619047616,Region,Function
0.7619047619047619,Region,Function
0.7142857142857143,Region,Function
0.6190476190476191,Region,Function
0.6190476190476191,Region,Function
